movieID,roomID
AWhiskerAway2020,4
Air2023,2
Belle2021,1
BorntoFly2023,2
Bubble2022,5
DarkPhoenix2019,3
DawnofthePlanetoftheApes2014,3
DeepSea2023,5
Don'tWorryDarling2022,6
DriftingHome2022,1
Dumb&DumberTo2014,5
Dune2021,5
EdenLonge2015,5
EDtv1999,2
Elvis2022,6
EndlessLove2014,2
EscapePlan2013,5
Fireworks2017,6
Frailty2001,3
FullRiverRed2023,3
GetShorty1995,4
GlassOnion2022,3
GosfordPark2002,6
HerBlueSky2019,1
Highway2014,3
IdleHands1999,2
Inkheart2008,6
Kite2014,6
KungFuYoga2017,2
LegendsofOz:Dorothy'sReturn2014,5
LetterstoGod2010,1
LightfromtheDarkroom2014,2
LordsofLondon2014,1
LosmenMelati2023,1
Lupinthe3rdvs.Cat'sEye2023,1
Maggie2015,6
MasterandCommander:TheFarSideoftheWorld2003,1
Mirai2018,1
MissPotter2006,6
Mission:Impossible-RogueNation2015,5
Moonman2022,6
MozartfromSpace2022,2
Mr.Peabody&Sherman2014,4
N-Secure2010,4
Neal'N'Nikki2005,2
Pearl2022,1
PoundofFlesh2015,4
RebaMcEntire'sTheHammer2023,3
ReservoirDogs1992,6
RideOn2023,2
Roadside2013,3
Roar2014,6
Sakra2023,2
Saw2004,4
Scream2022,2
ScreamVI2023,5
Senior2015,1
Serenity2019,1
ShallWeDance2004,4
ShortCuttoNirvana:KumbhMela2004,1
Sing22021,3
Sister2021,1
Slumberland2022,2
SoundofMyVoice2011,2
Spider-Man:NoWayHome2021,1
SpiritUntamed2021,2
StateofPlay2009,4
StepBrothers2008,1
StepUp:YearOfTheDance2019,4
SuperSizeMe2004,6
Suzume2022,2
TearsoftheSun2003,6
Tetris2023,5
TheBourneSupremacy2004,1
TheBrothersGrimm2005,5
TheBossBaby2017,2
TheCave2019,1
TheDeparted2006,4
TheFighter2010,3
TheIsland2018,6
TheKillerInsideMe2010,3
TheLoneRanger2013,2
TheMummy:TomboftheDragonEmperor2008,4
TheNamesofLove2010,6
TheNutcrackerandtheFourRealms2018,2
ThePeanutsMovie2015,2
ThePope'sExorcist2023,2
TheReef2010,2
TheSuperMarioBros.Movie2023,4
TheWatch2012,1
TigerOrange2014,5
TomandJerry2021,5
Unforgettable2017,4
Unsullied2014,3
WalkingwithDinosaurs2013,5
WeatheringwithYou2019,5
WeHaveaGhost2023,2
WelcomeHomeRoscoeJenkins2008,5
WithoutMen2011,3
YourName.2016,3